35 潇秋鱼: 
35.1 平均: 2000, 
35.2 标准误差: 100, 
35.3 中位数: 2000, 
35.4 标准差: 223.60679774997897, 
35.5 方差: 50000, 
35.6 峰度: 0.20000000000000107, 
35.7 偏度: 0, 
35.8 区域: 600, 
35.9 最小值: 1700, 
35.10 最大值: 2300, 
35.11 求和: 10000, 
35.12 观测数: 5, 
35.13 最大(3): 2000, 
35.14 最小(3): 2000, 
35.15 置信度(95.0%): 277.64451050438026, 

36 柳随风: 
36.1 平均: 1902, 
36.2 标准误差: 349.4338277843174, 
36.3 中位数: 1600, 
36.4 标准差: 781.3577925636885, 
36.5 方差: 610520, 
36.6 峰度: 2.449760310786477, 
36.7 偏度: 1.5282597150606938, 
36.8 区域: 2000, 
36.9 最小值: 1200, 
36.10 最大值: 3200, 
36.11 求和: 9510, 
36.12 观测数: 5, 
36.13 最大(3): 1600, 
36.14 最小(3): 1600, 
36.15 置信度(95.0%): 970.1838406884872, 

37 南宫雁: 
37.1 平均: 2260, 
37.2 标准误差: 858.2540416450131, 
37.3 中位数: 1100, 
37.4 标准差: 1919.1143790821848, 
37.5 方差: 3683000, 
37.6 峰度: -3.192780059757501, 
37.7 偏度: 0.583028114421397, 
37.8 区域: 3900, 
37.9 最小值: 600, 
37.10 最大值: 4500, 
37.11 求和: 11300, 
37.12 观测数: 5, 
37.13 最大(3): 1100, 
37.14 最小(3): 1100, 
37.15 置信度(95.0%): 2382.895232809357, 

38 金算蟠: 
38.1 平均: 1732, 
38.2 标准误差: 392.72636784407536, 
38.3 中位数: 1980, 
38.4 标准差: 878.1628550559401, 
38.5 方差: 771170, 
38.6 峰度: -1.765318595732139, 
38.7 偏度: -0.1702622745294725, 
38.8 区域: 2150, 
38.9 最小值: 650, 
38.10 最大值: 2800, 
38.11 求和: 8660, 
38.12 观测数: 5, 
38.13 最大(3): 1980, 
38.14 最小(3): 1980, 
38.15 置信度(95.0%): 1090.383201622315, 

39 慕容芙: 
39.1 平均: 1550, 
39.2 标准误差: 355.66838487557476, 
39.3 中位数: 1300, 
39.4 标准差: 795.2986860293433, 
39.5 方差: 632500, 
39.6 峰度: 1.0606789670202588, 
39.7 偏度: 1.1182315259204312, 
39.8 区域: 2050, 
39.9 最小值: 750, 
39.10 最大值: 2800, 
39.11 求和: 7750, 
39.12 观测数: 5, 
39.13 最大(3): 1300, 
39.14 最小(3): 1300, 
39.15 置信度(95.0%): 987.4937462066249, 

40 云中燕: 
40.1 平均: 1480, 
40.2 标准误差: 336.3777638310832, 
40.3 中位数: 1300, 
40.4 标准差: 752.1635460456722, 
40.5 方差: 565750, 
40.6 峰度: 3.29689764192511, 
40.7 偏度: 1.5970720683092916, 
40.8 区域: 2000, 
40.9 最小值: 750, 
40.10 最大值: 2750, 
40.11 求和: 7400, 
40.12 观测数: 5, 
40.13 最大(3): 1300, 
40.14 最小(3): 1300, 
40.15 置信度(95.0%): 933.9343958343912, 

41 秋雪阳: 
41.1 平均: 1810, 
41.2 标准误差: 780.7688518377254, 
41.3 中位数: 1100, 
41.4 标准差: 1745.8522274236157, 
41.5 方差: 3048000, 
41.6 峰度: 4.58215912525575, 
41.7 偏度: 2.119846732894162, 
41.8 区域: 4200, 
41.9 最小值: 700, 
41.10 最大值: 4900, 
41.11 求和: 9050, 
41.12 观测数: 5, 
41.13 最大(3): 1100, 
41.14 最小(3): 1100, 
41.15 置信度(95.0%): 2167.7618568555226, 

